Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
39.22286343574524	0	-259.55295	117.67916	134.95782	-683.4188	122.58103975535168	40.208539055605925	40084	40084
69.64169502258301	1	-214.48592	137.44658	173.0055	-679.6455	123.28307692307692	34.90073646668735	40067	80151
98.25817441940308	2	-148.56485	111.925575	167.83655	-533.2086	136.57337883959045	42.98009986198942	40016	120167
134.9456343650818	3	-152.11913	113.1798	163.547	-517.4047	153.12977099236642	99.65048821110169	40120	160287
170.49618983268738	4	-157.37119	110.6273	172.74144	-485.5208	160.4584980237154	87.00358482072512	40596	200883
207.04525756835938	5	-132.39177	98.28961	198.32092	-468.24033	164.76131687242798	112.88597539945893	40037	240920
252.18210458755493	6	-102.222755	124.49292	231.94545	-352.37344	185.74537037037038	147.7661596629265	40121	281041
298.4371898174286	7	-73.94931	131.10492	232.95238	-413.55328	209.02083333333334	163.65665145655467	40132	321173
356.20845246315	8	-70.62354	149.08215	212.8042	-598.24884	244.20481927710844	188.7906508709916	40538	361711
429.39468336105347	9	-55.58956	165.60889	226.63799	-541.4582	286.23571428571427	247.9728847709617	40073	401784
521.9589545726776	10	-0.7781089	141.60138	202.51782	-335.39285	276.16438356164383	209.66783996366956	40320	442104
580.3818619251251	11	-9.454196	153.01425	235.19807	-503.3996	265.95394736842104	183.4346053995878	40425	482529
657.2028577327728	12	-2.5503473	155.29982	235.46133	-396.87662	320.464	263.55536933251807	40058	522587
720.2920291423798	13	-24.646032	163.59685	234.14613	-557.3448	318.36507936507934	248.5816464886848	40114	562701
791.7961120605469	14	9.681135	142.51422	241.23853	-356.7052	362.27027027027026	286.2543109851529	40212	602913
865.5973527431488	15	25.941175	141.2697	223.5026	-372.1257	343.7521367521368	285.956302500712	40219	643132
939.1917262077332	16	44.70308	136.0948	226.68842	-384.4781	353.50877192982455	290.4415345827324	40300	683432
1011.0730907917023	17	65.192764	121.29255	238.48021	-206.62442	341.9316239316239	276.6569577071761	40006	723438
1091.31516456604	18	34.490623	143.09528	250.61916	-367.2857	403.12	327.4573034763464	40312	763750
1168.9556608200073	19	56.273674	134.11266	214.67766	-292.88672	388.6407766990291	305.7395571133423	40030	803780
1268.4638364315033	20	81.57279	122.517525	245.21631	-247.08235	355.8938053097345	287.84374949079205	40216	843996
1340.7150223255157	21	97.64665	115.78093	231.89758	-250.30365	382.0095238095238	294.3763220045323	40111	884107
1421.2480499744415	22	67.439224	131.96826	241.36768	-430.98666	415.9795918367347	338.63799766278134	40766	924873
1502.7442290782928	23	71.15392	137.07317	241.18541	-384.0489	409.03	328.62469338137083	40903	965776
1571.9683027267456	24	98.25766	111.15398	230.96738	-240.4169	386.5	307.2450788239552	40196	1005972
1648.723013162613	25	92.857956	115.8605	241.6991	-333.65048	463.9080459770115	340.5198403315146	40360	1046332
1724.1009232997894	26	99.52876	99.93192	238.70413	-84.40508	499.12345679012344	356.7032304801348	40429	1086761
1793.3041017055511	27	119.1889	89.29506	242.33026	-115.30729	430.1290322580645	310.9031666767019	40002	1126763
1859.601781129837	28	119.26212	100.12651	246.64359	-330.69397	405.8181818181818	297.9964871203823	40176	1166939
1922.813248872757	29	121.16042	98.35862	240.78026	-94.08928	374.93457943925233	293.78694903124074	40118	1207057
2227.266716480255	30	106.63222	99.12718	252.87843	-97.268394	379.14814814814815	295.1111157593336	40948	1248005
2289.1378803253174	31	101.655914	103.10592	259.60806	-272.46176	379.10185185185185	304.75657984616777	40943	1288948
2349.349773168564	32	131.8257	87.93761	252.88599	-137.04561	371.8333333333333	281.0857421578769	40158	1329106
2402.077569246292	33	136.28102	93.25961	235.84021	-295.70554	328.77868852459017	235.57956131582264	40111	1369217
