Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
5.319232940673828	0	7.952343	4.5584316	52.0	2.0	7.952343129467832	4.558431912337689	10012	10012
8.45196270942688	1	8.709312	5.2363553	51.0	3.0	8.709312445604874	5.236355335040389	10007	20019
11.525147199630737	2	10.207739	6.758537	60.0	3.0	10.207739307535642	6.75853697014716	10024	30043
14.530575037002563	3	11.509781	7.4112444	50.0	3.0	11.509781357882623	7.411244439425697	10002	40045
17.476842403411865	4	12.971466	8.403212	52.0	3.0	12.971465629053178	8.403211991964298	10001	50046
20.580821752548218	5	16.17286	11.184638	79.0	3.0	16.17285945072698	11.18463809442879	10011	60057
24.762073516845703	6	17.814947	12.252877	67.0	3.0	17.814946619217082	12.252877826565385	10012	70069
28.8625545501709	7	19.585127	13.17755	100.0	4.0	19.58512720156556	13.177550660960327	10008	80077
32.7386736869812	8	22.341518	15.276233	94.0	3.0	22.341517857142858	15.276232397667242	10009	90086
35.86279487609863	9	24.809406	15.301454	82.0	4.0	24.809405940594058	15.301453067722917	10023	100109
42.541996002197266	10	28.23662	17.483362	114.0	4.0	28.23661971830986	17.483362227297093	10024	110133
46.02917003631592	11	28.950867	17.220112	110.0	5.0	28.95086705202312	17.22011231189704	10017	120150
49.98308801651001	12	32.29582	19.620089	103.0	4.0	32.29581993569132	19.620088183812204	10044	130194
53.87682127952576	13	34.42268	18.49631	87.0	5.0	34.422680412371136	18.49630875307095	10017	140211
56.935686111450195	14	36.616787	20.076384	114.0	5.0	36.61678832116788	20.076383588841068	10033	150244
59.9865026473999	15	40.66129	23.762566	145.0	6.0	40.66129032258065	23.76256445131311	10084	160328
