Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.74444317817688	0	20.836735	10.180708	51.0	9.0	20.836734693877553	10.180707923694298	1021	1021
4.020915269851685	1	26.125	14.498599	77.0	11.0	26.125	14.498599070255029	1045	2066
4.236108779907227	2	33.7	16.737484	86.0	12.0	33.7	16.73748288522899	1011	3077
4.455592632293701	3	40.56	16.20637	79.0	15.0	40.56	16.206369118343563	1014	4091
4.679523468017578	4	40.56	11.437062	76.0	22.0	40.56	11.437062559940816	1014	5105
4.889495849609375	5	50.25	22.638187	85.0	24.0	50.25	22.638186764844924	1005	6110
5.095515012741089	6	48.142857	20.487593	106.0	24.0	48.142857142857146	20.487593723974502	1011	7121
5.3090856075286865	7	48.285713	19.73429	90.0	23.0	48.285714285714285	19.73428936827339	1014	8135
5.52615761756897	8	60.17647	22.434834	113.0	34.0	60.1764705882353	22.43483450591866	1023	9158
5.745635032653809	9	61.235294	27.626776	136.0	25.0	61.23529411764706	27.6267760392931	1041	10199
12.259813070297241	10	50.3	15.925137	74.0	24.0	50.3	15.92513736204495	1006	11205
12.478431463241577	11	51.4	17.579533	94.0	28.0	51.4	17.579533554676583	1028	12233
12.696278810501099	12	60.058823	23.324995	125.0	33.0	60.05882352941177	23.324994390605955	1021	13254
12.908029317855835	13	55.833332	16.176971	98.0	35.0	55.833333333333336	16.176972660063576	1005	14259
13.132309198379517	14	82.84615	31.777702	142.0	39.0	82.84615384615384	31.777704215488892	1077	15336
13.338103294372559	15	63.125	18.397945	99.0	39.0	63.125	18.397944858054117	1010	16346
13.561458587646484	16	69.4	20.388885	114.0	39.0	69.4	20.388885861337954	1041	17387
13.77961015701294	17	63.125	29.542078	134.0	33.0	63.125	29.542078041329457	1010	18397
14.00248122215271	18	69.6	21.077	114.0	42.0	69.6	21.077001684300356	1044	19441
14.215992212295532	19	60.294117	16.861948	102.0	37.0	60.294117647058826	16.861947085540592	1025	20466
19.282142877578735	20	63.375	17.553045	95.0	39.0	63.375	17.553044607702677	1014	21480
19.509817361831665	21	72.666664	26.264467	113.0	29.0	72.66666666666667	26.264466912964785	1090	22570
19.745715856552124	22	67.73333	27.34829	157.0	38.0	67.73333333333333	27.34828859158995	1016	23586
19.98795437812805	23	65.125	19.156836	104.0	37.0	65.125	19.156836247146867	1042	24628
20.223954439163208	24	64.75	23.209642	118.0	38.0	64.75	23.209642392764263	1036	25664
20.453052759170532	25	64.5	16.643316	103.0	44.0	64.5	16.64331697709324	1032	26696
20.689921855926514	26	72.21429	27.026913	110.0	28.0	72.21428571428571	27.026914023481353	1011	27707
20.911237001419067	27	50.95	10.897133	70.0	35.0	50.95	10.897132650381018	1019	28726
21.13416314125061	28	60.35294	23.97288	111.0	33.0	60.35294117647059	23.97287971724958	1026	29752
21.343320608139038	29	62.9375	18.589207	96.0	38.0	62.9375	18.589206377626777	1007	30759
