Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
4.99485969543457	0	14.955224	7.7487273	63.0	9.0	14.955223880597014	7.7487270708506815	1002	1002
5.253981351852417	1	16.42623	6.9505486	41.0	9.0	16.42622950819672	6.950549020403416	1002	2004
5.46528959274292	2	27.108109	16.109062	76.0	10.0	27.10810810810811	16.109060374536895	1003	3007
5.6857521533966064	3	56.88889	32.998127	158.0	14.0	56.888888888888886	32.998129389555956	1024	4031
5.918679475784302	4	105.2	53.29128	200.0	25.0	105.2	53.291275083262924	1052	5083
6.184072494506836	5	128.22223	64.63019	200.0	33.0	128.22222222222223	64.63019208075326	1154	6237
6.418776750564575	6	131.25	49.19794	200.0	36.0	131.25	49.197942030129674	1050	7287
6.6471264362335205	7	119.22222	22.919073	161.0	94.0	119.22222222222223	22.919073947637674	1073	8360
6.911257982254028	8	123.55556	33.671986	200.0	80.0	123.55555555555556	33.671983445229394	1112	9472
7.185390949249268	9	124.44444	35.295925	200.0	77.0	124.44444444444444	35.29592708990376	1120	10592
