Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
4.086982250213623	0	14.111424	9.696538	63.0	3.0	14.111424541607898	9.696537810085415	10005	10005
7.534789323806763	1	16.032051	11.722989	72.0	3.0	16.03205128205128	11.722988522335337	10004	20009
10.890722513198853	2	17.557896	11.546899	73.0	3.0	17.557894736842105	11.546898229644261	10008	30017
14.255590438842773	3	21.569893	14.165077	88.0	3.0	21.56989247311828	14.165077342445759	10030	40047
18.39361596107483	4	22.91762	14.184711	88.0	4.0	22.91762013729977	14.184711072261234	10015	50062
21.992782592773438	5	23.208817	15.15314	92.0	3.0	23.208816705336428	15.153139888610692	10003	60065
25.272974729537964	6	27.149052	16.313395	99.0	4.0	27.149051490514903	16.313394347703674	10018	70083
28.83063840866089	7	28.512821	16.99637	130.0	4.0	28.512820512820515	16.996370679095925	10008	80091
32.68469786643982	8	31.111456	19.057026	117.0	5.0	31.111455108359134	19.05702600873285	10049	90140
36.12849521636963	9	30.699387	18.245811	121.0	6.0	30.699386503067483	18.2458113419344	10008	100148
39.8296160697937	10	36.44	23.701612	167.0	6.0	36.44	23.701611759540743	10021	110169
43.28608989715576	11	37.763157	21.257822	158.0	4.0	37.76315789473684	21.257822880923705	10045	120214
46.490477085113525	12	40.715446	22.383764	154.0	7.0	40.71544715447155	22.38376310668769	10016	130230
49.71786046028137	13	43.76419	22.196156	115.0	9.0	43.76419213973799	22.196154745422305	10022	140252
52.98279929161072	14	44.45133	24.079695	132.0	5.0	44.45132743362832	24.079694802421045	10046	150298
56.36144709587097	15	48.47619	25.16842	212.0	7.0	48.476190476190474	25.16842134712815	10180	160478
59.57378101348877	16	49.00488	25.530756	183.0	8.0	49.00487804878049	25.53075573499073	10046	170524
62.863351345062256	17	52.05102	31.088375	268.0	9.0	52.05102040816327	31.08837713416894	10202	180726
66.54310846328735	18	58.964912	40.316715	449.0	8.0	58.96491228070175	40.31671322594617	10083	190809
70.06886434555054	19	58.15116	32.916744	189.0	5.0	58.151162790697676	32.91674396916619	10002	200811
73.3483943939209	20	58.882355	29.724386	184.0	11.0	58.88235294117647	29.724385617637594	10010	210821
76.81975817680359	21	58.52047	29.943483	174.0	8.0	58.52046783625731	29.943482665967466	10007	220828
80.23640942573547	22	65.82895	36.904	241.0	7.0	65.82894736842105	36.90399641669647	10006	230834
83.65251517295837	23	65.88158	39.140762	309.0	8.0	65.88157894736842	39.14076052338572	10014	240848
87.04655575752258	24	68.29252	35.7248	204.0	9.0	68.29251700680273	35.72480052535271	10039	250887
90.48614835739136	25	66.35099	40.81848	229.0	10.0	66.35099337748345	40.818480212126595	10019	260906
93.87635111808777	26	65.25974	35.15657	210.0	8.0	65.25974025974025	35.156570979681995	10050	270956
97.24300217628479	27	62.937107	34.629158	216.0	13.0	62.937106918238996	34.62915584297967	10007	280963
100.71854901313782	28	69.645836	35.88126	189.0	10.0	69.64583333333333	35.88126034227337	10029	290992
104.27166438102722	29	69.993004	36.857597	182.0	9.0	69.99300699300699	36.85759716232694	10009	301001
107.84320569038391	30	71.42254	33.645905	180.0	11.0	71.4225352112676	33.64590340751627	10142	311143
111.35044550895691	31	66.56291	31.133675	186.0	10.0	66.56291390728477	31.13367380328375	10051	321194
115.17031264305115	32	73.540146	36.127514	173.0	7.0	73.54014598540147	36.12751435415043	10075	331269
